,conflicts,quints,quads,four in five slots,triple in 24h (no gaps),triple in same day (no gaps),three in four slots,evening/morning b2b,other b2b,two in three slots,singular late exam,"two exams, large gap",avg_max
71,1,0.0,3.0,3.0,24.0,14.0,230.0,427.0,757.0,2926.0,973.0,834.0,16.783180428134557
116,0,0.0,0.0,1.0,39.0,29.0,289.0,487.0,1011.0,3289.0,1211.0,759.0,17.23131498470948
131,1,0.0,3.0,2.0,28.0,24.0,251.0,435.0,898.0,3162.0,831.0,734.0,16.331253822629968
169,1,0.0,3.0,2.0,49.0,28.0,253.0,415.0,834.0,3603.0,1023.0,692.0,16.628990825688074
209,1,0.0,1.0,4.0,38.0,19.0,292.0,538.0,1030.0,2997.0,933.0,578.0,16.380428134556574
212,1,0.0,2.0,4.0,47.0,19.0,270.0,399.0,894.0,3481.0,807.0,618.0,15.691009174311926
409,0,0.0,3.0,1.0,49.0,14.0,255.0,453.0,1007.0,3474.0,1242.0,838.0,16.776085626911314
420,1,0.0,1.0,4.0,35.0,27.0,272.0,412.0,888.0,3215.0,812.0,715.0,15.947461773700306
445,0,0.0,4.0,1.0,38.0,28.0,239.0,477.0,1003.0,3206.0,1035.0,768.0,16.582507645259938
461,0,0.0,1.0,3.0,37.0,21.0,303.0,440.0,830.0,3598.0,1568.0,804.0,17.213272171253823
479,1,0.0,1.0,2.0,41.0,17.0,304.0,476.0,836.0,3572.0,777.0,660.0,15.438715596330276
497,0,0.0,1.0,4.0,52.0,21.0,216.0,471.0,920.0,3064.0,1136.0,851.0,16.90256880733945
512,0,0.0,2.0,4.0,49.0,29.0,313.0,452.0,1019.0,3427.0,1242.0,790.0,17.030275229357798
533,1,0.0,2.0,0.0,39.0,16.0,222.0,428.0,860.0,3445.0,876.0,692.0,16.32330275229358
577,1,0.0,3.0,3.0,52.0,28.0,328.0,510.0,942.0,3607.0,654.0,542.0,15.247951070336391
609,0,0.0,0.0,4.0,26.0,28.0,283.0,458.0,891.0,3451.0,1332.0,854.0,17.005810397553518
