,Unnamed: 0,unique_id,is_best,name,origin,destination,departure time,arrival time,duration,stops,price,dis_from_origin,dis_from_dest,departure_dt,departure_seconds,arrival_dt,arrival_seconds,duration_min
0,0,ITH_IAD1,True,United,ITH,IAD,"10:28 AM on Mon, Oct 20","11:50 AM on Mon, Oct 20",1 hr 22 min,0.0,204.0,2.7076716238688823,5.410058604672028,1900-10-20 10:28:00,4271280.0,1900-10-20 11:50:00,4276200.0,82
1,1,ITH_IAD2,True,United,ITH,IAD,"7:53 PM on Mon, Oct 20","9:15 PM on Mon, Oct 20",1 hr 22 min,0.0,204.0,2.7076716238688823,5.410058604672028,1900-10-20 19:53:00,4305180.0,1900-10-20 21:15:00,4310100.0,82
2,2,SYR_IAD1,True,United,SYR,IAD,"2:50 PM on Mon, Oct 20","4:16 PM on Mon, Oct 20",1 hr 26 min,0.0,235.0,49.09457496460707,5.410058604672028,1900-10-20 14:50:00,4287000.0,1900-10-20 16:16:00,4292160.0,86
3,3,SYR_IAD23,False,United,SYR,IAD,"10:28 AM on Mon, Oct 20","11:55 AM on Mon, Oct 20",1 hr 27 min,0.0,267.0,49.09457496460707,5.410058604672028,1900-10-20 10:28:00,4271280.0,1900-10-20 11:55:00,4276500.0,87
4,4,SYR_DCA0,True,American,SYR,DCA,"5:37 PM on Mon, Oct 20","6:59 PM on Mon, Oct 20",1 hr 22 min,0.0,204.0,49.09457496460707,18.712439121823174,1900-10-20 17:37:00,4297020.0,1900-10-20 18:59:00,4301940.0,82
5,5,SYR_IAD0,True,United,SYR,IAD,"7:45 PM on Mon, Oct 20","9:10 PM on Mon, Oct 20",1 hr 25 min,0.0,204.0,49.09457496460707,5.410058604672028,1900-10-20 19:45:00,4304700.0,1900-10-20 21:10:00,4309800.0,85
6,6,ITH_DCA1,True,Delta,ITH,DCA,"2:05 PM on Mon, Oct 20","6:00 PM on Mon, Oct 20",3 hr 55 min,1.0,214.0,2.7076716238688823,18.712439121823174,1900-10-20 14:05:00,4284300.0,1900-10-20 18:00:00,4298400.0,235
7,7,ITH_IAD0,True,United,ITH,IAD,"6:10 AM on Mon, Oct 20","7:32 AM on Mon, Oct 20",1 hr 22 min,0.0,204.0,2.7076716238688823,5.410058604672028,1900-10-20 06:10:00,4255800.0,1900-10-20 07:32:00,4260720.0,82
8,8,ITH_IAD4,True,Delta,ITH,IAD,"2:05 PM on Mon, Oct 20","7:18 PM on Mon, Oct 20",5 hr 13 min,1.0,214.0,2.7076716238688823,5.410058604672028,1900-10-20 14:05:00,4284300.0,1900-10-20 19:18:00,4303080.0,313
9,9,SYR_IAD2,True,United,SYR,IAD,"6:10 AM on Mon, Oct 20","7:35 AM on Mon, Oct 20",1 hr 25 min,0.0,236.0,49.09457496460707,5.410058604672028,1900-10-20 06:10:00,4255800.0,1900-10-20 07:35:00,4260900.0,85
