unique_id,is_best,name,origin,destination,departure time,arrival time,duration,stops,price,dis_from_origin,dis_from_dest,departure_dt,departure_seconds,arrival_dt,arrival_seconds,duration_min
JFK_ORD0,True,American,JFK,ORD,"7:40 AM on Sun, Oct 12","9:27 AM on Sun, Oct 12",2 hr 47 min,0,297.0,13.570726961641734,0.2460643477547049,1900-10-12 07:40:00,3570000.0,1900-10-12 09:27:00,3576420.0,167
JFK_ORD1,True,JetBlue,JFK,ORD,"10:31 AM on Sun, Oct 12","12:23 PM on Sun, Oct 12",2 hr 52 min,0,323.0,13.570726961641734,0.2460643477547049,1900-10-12 10:31:00,3580260.0,1900-10-12 12:23:00,3586980.0,172
JFK_ORD2,True,Delta,JFK,ORD,"3:29 PM on Sun, Oct 12","5:22 PM on Sun, Oct 12",2 hr 53 min,0,391.0,13.570726961641734,0.2460643477547049,1900-10-12 15:29:00,3598140.0,1900-10-12 17:22:00,3604920.0,173
JFK_ORD3,False,American,JFK,ORD,"6:30 AM on Sun, Oct 12","12:03 PM on Sun, Oct 12",6 hr 33 min,1,314.0,13.570726961641734,0.2460643477547049,1900-10-12 06:30:00,3565800.0,1900-10-12 12:03:00,3585780.0,393
JFK_ORD4,False,Frontier,JFK,ORD,"1:01 PM on Sun, Oct 12","11:39 PM on Sun, Oct 12",11 hr 38 min,1,372.0,13.570726961641734,0.2460643477547049,1900-10-12 13:01:00,3589260.0,1900-10-12 23:39:00,3627540.0,698
JFK_ORD5,False,American,JFK,ORD,"6:30 AM on Sun, Oct 12","11:06 AM on Sun, Oct 12",5 hr 36 min,1,373.0,13.570726961641734,0.2460643477547049,1900-10-12 06:30:00,3565800.0,1900-10-12 11:06:00,3582360.0,336
JFK_ORD6,False,American,JFK,ORD,"12:30 PM on Sun, Oct 12","5:57 PM on Sun, Oct 12",6 hr 27 min,1,373.0,13.570726961641734,0.2460643477547049,1900-10-12 12:30:00,3587400.0,1900-10-12 17:57:00,3607020.0,387
JFK_ORD7,False,American,JFK,ORD,"3:14 PM on Sun, Oct 12","9:30 PM on Sun, Oct 12",7 hr 16 min,1,373.0,13.570726961641734,0.2460643477547049,1900-10-12 15:14:00,3597240.0,1900-10-12 21:30:00,3619800.0,436
JFK_ORD8,False,Delta,JFK,ORD,"8:00 AM on Sun, Oct 12","9:56 AM on Sun, Oct 12",2 hr 56 min,0,391.0,13.570726961641734,0.2460643477547049,1900-10-12 08:00:00,3571200.0,1900-10-12 09:56:00,3578160.0,176
JFK_ORD9,False,Delta,JFK,ORD,"10:29 AM on Sun, Oct 12","12:18 PM on Sun, Oct 12",2 hr 49 min,0,391.0,13.570726961641734,0.2460643477547049,1900-10-12 10:29:00,3580140.0,1900-10-12 12:18:00,3586680.0,169
JFK_ORD10,False,Sun Country Airlines,JFK,ORD,"11:31 AM on Sun, Oct 12","4:45 PM on Sun, Oct 12",6 hr 14 min,1,398.0,13.570726961641734,0.2460643477547049,1900-10-12 11:31:00,3583860.0,1900-10-12 16:45:00,3602700.0,374
