,conflicts,quints,quads,four in five slots,triple in 24h (no gaps),triple in same day (no gaps),three in four slots,evening/morning b2b,other b2b,two in three slots,singular late exam,"two exams, large gap",avg_max,lateness,size_cutoff,reserved,num_blocks,alpha,gamma,delta,vega,theta,large_block_size,large_exam_weight,large_block_weight,large_size_1,large_cutoff_freedom,tradeoff,flpens,source_file,overlap,idle_time
0,0,0.0,3.0,8.0,72.0,40.0,351.0,562.0,1442.0,2630.0,1008.0,685.0,16.09290519877676,26355.0,221.0,1.0,23.0,16.28131039440632,21.24083995819092,0.3641153126955032,5.123986005783081,0.1779206469655037,1215.4791057109833,38.794466853141785,18.21257174015045,289.5431637763977,0.9331846833229064,0.9661532044410706,0.1170209050178527,,,
1,14,0.0,6.0,8.0,77.0,53.0,341.0,358.0,1166.0,4026.0,817.0,675.0,15.521039755351682,39802.0,259.0,6.0,20.0,29.74506288766861,44.72644716501236,3.162853717803955,5.742360353469849,7.640870213508606,1350.7306277751925,48.871853947639465,97.0351219177246,216.8393149971962,3.709237575531006,0.1301985383033752,0.4083148837089538,,,
2,0,0.0,8.0,12.0,47.0,61.0,404.0,334.0,1460.0,3346.0,1197.0,696.0,15.979694189602446,25770.0,252.0,4.0,21.0,78.83457601070404,45.65112799406052,3.5033753514289856,8.924422860145569,3.2630547881126404,1668.116271495819,53.3384382724762,80.46615719795227,245.7939863204956,2.8043158054351807,0.3723804056644439,0.4398334920406341,,,
3,2,0.0,1.0,7.0,29.0,36.0,324.0,205.0,1192.0,3152.0,674.0,552.0,15.492782874617737,35328.0,273.0,2.0,20.0,36.75770908594132,8.458581790328026,1.981280893087387,4.86378401517868,5.839226245880127,1706.0741782188416,38.64879012107849,83.45118761062622,346.30006551742554,2.2778494358062744,0.6780273914337158,0.4555002152919769,,,
4,2,0.0,5.0,5.0,43.0,26.0,294.0,447.0,909.0,3898.0,941.0,777.0,15.778532110091744,34376.0,273.0,2.0,20.0,43.829894959926605,19.536930471658707,6.188037991523743,7.936924695968628,8.413187265396118,1702.3268342018127,48.15574288368225,72.40286469459534,250.62414407730105,0.3607948422431946,0.2234781682491302,0.1135640367865562,,,
5,0,0.0,1.0,4.0,65.0,21.0,284.0,518.0,1088.0,3551.0,1294.0,728.0,16.378470948012232,33199.0,286.0,4.0,23.0,29.083371311426163,31.29801869392395,2.489662319421768,1.0345545411109924,8.950626254081726,1048.1726750731468,62.08041906356812,77.73829102516174,239.768248796463,0.9775519967079164,0.1374613940715789,0.1248419135808944,,,
6,0,0.0,2.0,8.0,47.0,36.0,383.0,579.0,1246.0,2962.0,1221.0,697.0,16.794495412844036,42782.0,286.0,4.0,23.0,12.512136846780775,29.143764972686768,4.778968691825867,6.909453868865967,6.743634343147278,1248.9990293979645,48.04512560367584,41.72849357128143,226.2839198112488,1.5859322547912598,0.3845611810684204,0.8704193830490112,,,
7,0,0.0,1.0,8.0,66.0,58.0,340.0,380.0,1779.0,2945.0,765.0,605.0,15.824831804281343,34612.0,250.0,2.0,21.0,56.800636649131775,13.155840560793877,5.960132479667664,5.861803889274597,8.204959630966187,1200.4707604646685,9.117065370082855,52.65743136405945,245.64511477947235,3.1384286880493164,0.8661957383155823,0.1375054270029068,,,
8,2,0.0,6.0,4.0,47.0,29.0,420.0,481.0,1332.0,2823.0,493.0,417.0,14.967339449541283,23558.0,206.0,4.0,21.0,61.0629940032959,6.323606865480542,3.11286598443985,9.904853105545044,4.417493641376495,1891.4273977279663,23.49228709936142,59.424394369125366,376.050341129303,3.0186069011688232,0.9557135701179504,0.9688605666160583,,,
9,14,0.0,6.0,6.0,94.0,48.0,381.0,607.0,1099.0,4050.0,1057.0,529.0,15.7502752293578,26695.0,259.0,6.0,20.0,28.833087682724,30.396434366703037,1.5530118346214294,2.74357944726944,5.690674781799316,1446.3097751140594,61.49790287017822,44.16128993034363,243.87614727020264,0.1081794574856758,0.2056894153356552,0.536949634552002,,,
10,1,0.0,2.0,0.0,47.0,20.0,256.0,639.0,786.0,3110.0,980.0,676.0,16.025565749235476,34708.0,268.0,2.0,21.0,61.53992831707001,21.17487505078316,1.14339217543602,3.820551037788391,4.112127721309662,1450.8958160877228,23.65645617246628,59.3838632106781,241.0600543022156,0.7207669615745544,0.7353643774986267,0.7304215431213379,,,
11,0,0.0,1.0,13.0,37.0,27.0,329.0,1001.0,926.0,2877.0,1428.0,767.0,16.761529051987768,33807.0,222.0,4.0,21.0,83.56547772884369,9.877400621771812,6.386213898658752,2.754659652709961,0.3936545178294182,1485.7681691646576,36.88391149044037,36.952582001686096,246.1180210113525,2.507776260375977,0.4894022345542907,0.1628813445568084,,,
12,1,0.0,3.0,8.0,61.0,44.0,352.0,552.0,1164.0,3100.0,975.0,645.0,16.088012232415903,38715.0,265.0,0.0,20.0,41.67888402938843,17.454747706651688,3.075804710388184,2.252187281847,7.372477650642395,1694.8212385177612,31.81757628917694,80.34103512763977,398.38773012161255,3.2166922092437744,0.5127260088920593,0.3223994970321655,,,
13,1,0.0,4.0,3.0,34.0,33.0,299.0,501.0,836.0,3561.0,849.0,666.0,15.591070336391438,29752.0,268.0,2.0,21.0,83.66544902324677,20.43272390961647,7.744866013526916,4.269655644893646,6.744658350944519,1891.8872475624084,3.2395094633102417,6.997764855623245,271.40188217163086,2.8707048892974854,0.0216547939926385,0.1979182511568069,,,
14,0,0.0,3.0,7.0,59.0,19.0,314.0,395.0,1442.0,2511.0,1042.0,792.0,16.59119266055046,41814.0,251.0,2.0,23.0,35.7884955406189,28.599968552589417,8.136211037635803,2.196994572877884,3.1745153665542603,1029.4779166579249,26.331868767738342,80.31869530677795,272.25881814956665,2.656977891921997,0.8131263256072998,0.2005396336317062,,,
15,2,0.0,5.0,12.0,71.0,14.0,351.0,696.0,953.0,3121.0,797.0,662.0,16.156758409785933,42265.0,273.0,2.0,20.0,46.765277683734894,47.14549660682678,2.798931896686554,2.9277634620666504,9.10705864429474,1966.751754283905,58.10897350311279,8.12184140086174,202.85469982773063,2.5166659355163574,0.3814727365970611,0.7197534441947937,,,
16,14,0.0,2.0,7.0,61.0,45.0,362.0,570.0,1177.0,3736.0,980.0,610.0,15.916391437308867,36267.0,259.0,6.0,20.0,44.81330543756485,37.922246158123016,1.294563114643097,4.982498586177826,5.6956058740615845,1848.1484651565552,30.88708221912384,62.80927062034607,228.92830669879916,2.602748155593872,0.938611388206482,0.8665106296539307,,,
