unique_id	is_best	rank	name	origin	destination	departure_time	arrival_time	duration	stops	price	dis_from_origin	dis_from_dest	departure_dt	departure_seconds	arrival_dt	arrival_seconds	duration_min
ONT_JFK1	True	1.0	FRONTIER AIRLINES	ONT	JFK	05:16 PM on Sat, Dec 20	05:30 AM on Sun, Dec 21	9.0 hr 14.0 min	1.0	171.0	0.0	0.0	1900-12-20 17:16:00	2049360	1900-12-21 05:30:00	2093400	554.0
LAX_JFK2	True	2.0	FRONTIER AIRLINES	LAX	JFK	03:30 PM on Sat, Dec 20	05:30 AM on Sun, Dec 21	11.0 hr 0.0 min	1.0	176.6	0.0	0.0	1900-12-20 15:30:00	2043000	1900-12-21 05:30:00	2093400	660.0
LAX_JFK3	False	40.5	FRONTIER AIRLINES	LAX	JFK	01:13 PM on Sat, Dec 20	05:30 AM on Sun, Dec 21	13.0 hr 17.0 min	1.0	176.6	0.0	0.0	1900-12-20 13:13:00	2034780	1900-12-21 05:30:00	2093400	797.0
ONT_JFK4	False	40.5	FRONTIER AIRLINES	ONT	JFK	06:00 AM on Sat, Dec 20	05:30 AM on Sun, Dec 21	20.0 hr 30.0 min	1.0	176.6	0.0	0.0	1900-12-20 06:00:00	2008800	1900-12-21 05:30:00	2093400	1230.0
LAX_JFK5	True	3.0	FRONTIER AIRLINES	LAX	JFK	08:37 AM on Sat, Dec 20	12:55 AM on Sun, Dec 21	13.0 hr 18.0 min	1.0	201.56	0.0	0.0	1900-12-20 08:37:00	2018220	1900-12-21 00:55:00	2076900	798.0
LAX_JFK6	False	40.5	FRONTIER AIRLINES	LAX	JFK	10:45 PM on Sat, Dec 20	12:00 PM on Sun, Dec 21	10.0 hr 15.0 min	1.0	255.97	0.0	0.0	1900-12-20 22:45:00	2069100	1900-12-21 12:00:00	2116800	615.0
LAX_JFK7	False	40.5	SUN COUNTRY	LAX	JFK	11:59 PM on Sat, Dec 20	09:24 AM on Mon, Dec 22	30.0 hr 25.0 min	1.0	264.0	0.0	0.0	1900-12-20 23:59:00	2073540	1900-12-22 09:24:00	2193840	1825.0
LAX_JFK8	True	4.0	SUN COUNTRY	LAX	JFK	11:59 PM on Sat, Dec 20	10:34 AM on Sun, Dec 21	7.0 hr 35.0 min	1.0	268.4	0.0	0.0	1900-12-20 23:59:00	2073540	1900-12-21 10:34:00	2111640	455.0
LAX_JFK9	False	40.5	SUN COUNTRY	LAX	JFK	05:55 PM on Sat, Dec 20	09:30 AM on Sun, Dec 21	12.0 hr 35.0 min	1.0	274.0	0.0	0.0	1900-12-20 17:55:00	2051700	1900-12-21 09:30:00	2107800	755.0
LAX_JFK10	False	40.5	SUN COUNTRY	LAX	JFK	05:55 PM on Sat, Dec 20	10:34 AM on Sun, Dec 21	13.0 hr 39.0 min	1.0	274.0	0.0	0.0	1900-12-20 17:55:00	2051700	1900-12-21 10:34:00	2111640	819.0
LAX_JFK11	False	40.5	FRONTIER AIRLINES	LAX	JFK	10:01 PM on Sat, Dec 20	06:30 AM on Sun, Dec 21	5.0 hr 29.0 min	0.0	283.94	0.0	0.0	1900-12-20 22:01:00	2066460	1900-12-21 06:30:00	2097000	329.0
LAX_JFK12	False	40.5	FRONTIER AIRLINES	LAX	JFK	11:59 PM on Sat, Dec 20	10:00 AM on Mon, Dec 22	31.0 hr 1.0 min	1.0	425.63	0.0	0.0	1900-12-20 23:59:00	2073540	1900-12-22 10:00:00	2196000	1861.0
LAX_JFK13	True	5.0	ALASKA AIRLINES	LAX	JFK	05:45 PM on Sat, Dec 20	07:59 AM on Sun, Dec 21	11.0 hr 14.0 min	1.0	443.04	0.0	0.0	1900-12-20 17:45:00	2051100	1900-12-21 07:59:00	2102340	674.0
LAX_JFK14	False	40.5	ALASKA AIRLINES	LAX	JFK	04:56 PM on Sat, Dec 20	07:59 AM on Sun, Dec 21	12.0 hr 3.0 min	1.0	443.04	0.0	0.0	1900-12-20 16:56:00	2048160	1900-12-21 07:59:00	2102340	723.0
LAX_JFK15	False	40.5	HAWAIIAN AIRLINES	LAX	JFK	05:45 PM on Sat, Dec 20	07:59 AM on Sun, Dec 21	11.0 hr 14.0 min	1.0	443.04	0.0	0.0	1900-12-20 17:45:00	2051100	1900-12-21 07:59:00	2102340	674.0
LAX_JFK16	False	40.5	HAWAIIAN AIRLINES	LAX	JFK	04:56 PM on Sat, Dec 20	07:59 AM on Sun, Dec 21	12.0 hr 3.0 min	1.0	443.04	0.0	0.0	1900-12-20 16:56:00	2048160	1900-12-21 07:59:00	2102340	723.0
LAX_JFK17	False	40.5	JETBLUE AIRWAYS	LAX	JFK	01:30 PM on Sat, Dec 20	09:55 PM on Sat, Dec 20	5.0 hr 25.0 min	0.0	447.8	0.0	0.0	1900-12-20 13:30:00	2035800	1900-12-20 21:55:00	2066100	325.0
LAX_JFK18	False	40.5	JETBLUE AIRWAYS	LAX	JFK	02:29 PM on Sat, Dec 20	10:55 PM on Sat, Dec 20	5.0 hr 26.0 min	0.0	447.8	0.0	0.0	1900-12-20 14:29:00	2039340	1900-12-20 22:55:00	2069700	326.0
LAX_JFK19	False	40.5	SUN COUNTRY	LAX	JFK	12:58 PM on Sat, Dec 20	09:30 AM on Sun, Dec 21	17.0 hr 32.0 min	1.0	483.95	0.0	0.0	1900-12-20 12:58:00	2033880	1900-12-21 09:30:00	2107800	1052.0
LAX_JFK20	False	40.5	SUN COUNTRY	LAX	JFK	12:58 PM on Sat, Dec 20	10:34 AM on Sun, Dec 21	18.0 hr 36.0 min	1.0	483.95	0.0	0.0	1900-12-20 12:58:00	2033880	1900-12-21 10:34:00	2111640	1116.0
LAX_JFK21	False	40.5	ALASKA AIRLINES	LAX	JFK	09:25 PM on Sat, Dec 20	03:29 PM on Sun, Dec 21	15.0 hr 4.0 min	1.0	501.64	0.0	0.0	1900-12-20 21:25:00	2064300	1900-12-21 15:29:00	2129340	904.0
LAX_JFK22	False	40.5	ALASKA AIRLINES	LAX	JFK	07:24 PM on Sat, Dec 20	03:29 PM on Sun, Dec 21	17.0 hr 5.0 min	1.0	501.64	0.0	0.0	1900-12-20 19:24:00	2057040	1900-12-21 15:29:00	2129340	1025.0
LAX_JFK23	False	40.5	HAWAIIAN AIRLINES	LAX	JFK	09:25 PM on Sat, Dec 20	03:29 PM on Sun, Dec 21	15.0 hr 4.0 min	1.0	501.64	0.0	0.0	1900-12-20 21:25:00	2064300	1900-12-21 15:29:00	2129340	904.0
LAX_JFK24	False	40.5	ALASKA AIRLINES	LAX	JFK	03:20 PM on Sat, Dec 20	07:59 AM on Sun, Dec 21	13.0 hr 39.0 min	1.0	506.59	0.0	0.0	1900-12-20 15:20:00	2042400	1900-12-21 07:59:00	2102340	819.0
LAX_JFK25	False	40.5	HAWAIIAN AIRLINES	LAX	JFK	03:20 PM on Sat, Dec 20	07:59 AM on Sun, Dec 21	13.0 hr 39.0 min	1.0	506.59	0.0	0.0	1900-12-20 15:20:00	2042400	1900-12-21 07:59:00	2102340	819.0
LAX_JFK26	False	40.5	JETBLUE AIRWAYS	LAX	JFK	09:40 PM on Sat, Dec 20	09:00 AM on Sun, Dec 21	8.0 hr 20.0 min	1.0	519.32	0.0	0.0	1900-12-20 21:40:00	2065200	1900-12-21 09:00:00	2106000	500.0
LAX_JFK27	False	40.5	JETBLUE AIRWAYS	LAX	JFK	09:40 PM on Sat, Dec 20	12:19 PM on Sun, Dec 21	11.0 hr 39.0 min	1.0	524.92	0.0	0.0	1900-12-20 21:40:00	2065200	1900-12-21 12:19:00	2117940	699.0
LAX_JFK28	False	40.5	JETBLUE AIRWAYS	LAX	JFK	09:40 PM on Sat, Dec 20	01:33 PM on Sun, Dec 21	12.0 hr 53.0 min	1.0	524.92	0.0	0.0	1900-12-20 21:40:00	2065200	1900-12-21 13:33:00	2122380	773.0
LAX_JFK29	False	40.5	JETBLUE AIRWAYS	LAX	JFK	09:40 PM on Sat, Dec 20	07:56 PM on Sun, Dec 21	19.0 hr 16.0 min	1.0	524.92	0.0	0.0	1900-12-20 21:40:00	2065200	1900-12-21 19:56:00	2145360	1156.0
LAX_JFK30	False	40.5	JETBLUE AIRWAYS	LAX	JFK	09:40 PM on Sat, Dec 20	09:00 PM on Sun, Dec 21	20.0 hr 20.0 min	1.0	524.92	0.0	0.0	1900-12-20 21:40:00	2065200	1900-12-21 21:00:00	2149200	1220.0
LAX_JFK31	False	40.5	JETBLUE AIRWAYS	LAX	JFK	08:35 PM on Sat, Dec 20	04:48 AM on Sun, Dec 21	5.0 hr 13.0 min	0.0	535.77	0.0	0.0	1900-12-20 20:35:00	2061300	1900-12-21 04:48:00	2090880	313.0
LAX_JFK32	False	40.5	JETBLUE AIRWAYS	LAX	JFK	03:40 PM on Sat, Dec 20	11:59 PM on Sat, Dec 20	5.0 hr 19.0 min	0.0	535.77	0.0	0.0	1900-12-20 15:40:00	2043600	1900-12-20 23:59:00	2073540	319.0
LAX_JFK33	False	40.5	JETBLUE AIRWAYS	LAX	JFK	07:00 AM on Sat, Dec 20	03:23 PM on Sat, Dec 20	5.0 hr 23.0 min	0.0	535.77	0.0	0.0	1900-12-20 07:00:00	2012400	1900-12-20 15:23:00	2042580	323.0
LAX_JFK34	False	40.5	JETBLUE AIRWAYS	LAX	JFK	06:00 AM on Sat, Dec 20	02:23 PM on Sat, Dec 20	5.0 hr 23.0 min	0.0	535.77	0.0	0.0	1900-12-20 06:00:00	2008800	1900-12-20 14:23:00	2038980	323.0
LAX_JFK35	False	40.5	ALASKA AIRLINES	LAX	JFK	01:49 PM on Sat, Dec 20	07:59 AM on Sun, Dec 21	15.0 hr 10.0 min	1.0	546.6	0.0	0.0	1900-12-20 13:49:00	2036940	1900-12-21 07:59:00	2102340	910.0
LAX_JFK36	False	40.5	HAWAIIAN AIRLINES	LAX	JFK	01:49 PM on Sat, Dec 20	07:59 AM on Sun, Dec 21	15.0 hr 10.0 min	1.0	546.6	0.0	0.0	1900-12-20 13:49:00	2036940	1900-12-21 07:59:00	2102340	910.0
LAX_JFK37	False	40.5	JETBLUE AIRWAYS	LAX	JFK	11:35 PM on Sat, Dec 20	06:31 PM on Sun, Dec 21	15.0 hr 56.0 min	1.0	560.77	0.0	0.0	1900-12-20 23:35:00	2072100	1900-12-21 18:31:00	2140260	956.0
LAX_JFK38	False	40.5	JETBLUE AIRWAYS	LAX	JFK	11:35 PM on Sat, Dec 20	09:30 PM on Sun, Dec 21	18.0 hr 55.0 min	1.0	560.77	0.0	0.0	1900-12-20 23:35:00	2072100	1900-12-21 21:30:00	2151000	1135.0
LAX_JFK39	False	40.5	JETBLUE AIRWAYS	LAX	JFK	11:53 PM on Sat, Dec 20	07:41 AM on Mon, Dec 22	28.0 hr 48.0 min	1.0	567.97	0.0	0.0	1900-12-20 23:53:00	2073180	1900-12-22 07:41:00	2187660	1728.0
LAX_JFK40	False	40.5	JETBLUE AIRWAYS	LAX	JFK	09:40 PM on Sat, Dec 20	03:25 PM on Sun, Dec 21	14.0 hr 45.0 min	1.0	579.88	0.0	0.0	1900-12-20 21:40:00	2065200	1900-12-21 15:25:00	2129100	885.0
LAX_JFK41	False	40.5	JETBLUE AIRWAYS	LAX	JFK	09:40 PM on Sat, Dec 20	06:00 PM on Sun, Dec 21	17.0 hr 20.0 min	1.0	579.88	0.0	0.0	1900-12-20 21:40:00	2065200	1900-12-21 18:00:00	2138400	1040.0
LAX_JFK42	False	40.5	JETBLUE AIRWAYS	LAX	JFK	11:35 PM on Sat, Dec 20	12:15 PM on Sun, Dec 21	9.0 hr 40.0 min	1.0	580.13	0.0	0.0	1900-12-20 23:35:00	2072100	1900-12-21 12:15:00	2117700	580.0
LAX_JFK43	False	40.5	JETBLUE AIRWAYS	LAX	JFK	11:35 PM on Sat, Dec 20	04:13 PM on Sun, Dec 21	13.0 hr 38.0 min	1.0	585.73	0.0	0.0	1900-12-20 23:35:00	2072100	1900-12-21 16:13:00	2131980	818.0
LAX_JFK44	False	40.5	JETBLUE AIRWAYS	LAX	JFK	07:25 AM on Sat, Dec 20	09:00 PM on Sat, Dec 20	10.0 hr 35.0 min	1.0	611.3	0.0	0.0	1900-12-20 07:25:00	2013900	1900-12-20 21:00:00	2062800	635.0
LAX_JFK45	False	40.5	JETBLUE AIRWAYS	LAX	JFK	07:25 AM on Sat, Dec 20	09:57 PM on Sat, Dec 20	11.0 hr 32.0 min	1.0	611.3	0.0	0.0	1900-12-20 07:25:00	2013900	1900-12-20 21:57:00	2066220	692.0
LAX_JFK46	False	40.5	JETBLUE AIRWAYS	LAX	JFK	10:30 PM on Sat, Dec 20	12:19 PM on Sun, Dec 21	10.0 hr 49.0 min	1.0	611.3	0.0	0.0	1900-12-20 22:30:00	2068200	1900-12-21 12:19:00	2117940	649.0
LAX_JFK47	False	40.5	JETBLUE AIRWAYS	LAX	JFK	10:30 PM on Sat, Dec 20	01:33 PM on Sun, Dec 21	12.0 hr 3.0 min	1.0	616.9	0.0	0.0	1900-12-20 22:30:00	2068200	1900-12-21 13:33:00	2122380	723.0
LAX_JFK48	False	40.5	JETBLUE AIRWAYS	LAX	JFK	07:25 AM on Sat, Dec 20	10:57 PM on Sat, Dec 20	12.0 hr 32.0 min	1.0	616.9	0.0	0.0	1900-12-20 07:25:00	2013900	1900-12-20 22:57:00	2069820	752.0
LAX_JFK49	False	40.5	JETBLUE AIRWAYS	LAX	JFK	07:25 AM on Sat, Dec 20	11:54 PM on Sat, Dec 20	13.0 hr 29.0 min	1.0	616.9	0.0	0.0	1900-12-20 07:25:00	2013900	1900-12-20 23:54:00	2073240	809.0
